Sing Me Softly Of The Blues,393,393
Skating In Central Park,394,394
Slowly Gone Bygone,395,395
So What,409,409
Solar,396,396
Solitude,397,397
Some Other Time,399,399
Some Skunk Funk,400,401
Someday My Prince Will Come,398,398
Sometime Ago,402,402
Son Of Mr. Green Genes,406,406
Song For My Father,404,404
Song Is You,405,405
Song,403,403
Sophisticated Lady,407,407
Sorcerer,408,408
Space Circus Part 1,410,411
Space Circus Part 2,412,413
Spain,492,494
Speak No Evil,414,414
Spiral Dance,415,415
Spring Is Here,416,416
Star-Crossed Lovers,417,417
Stella By Starlight,418,418
Steps,419,419
Stolen Moments,420,420
Stompin' At The Savoy,421,421
Straight No Chaser,422,422
Stuff,423,423
Sugar,424,424
Summer Samba,425,425
Swedish Pastry,426,426
Sweeping Up,210,210
Sweet Georgia Bright,427,427
Sweet Henry,428,428
Sweet Rain,429,429
Take Five,430,430
"Take The ""A"" Train",431,431
Tame Thy Pen,432,432
Tell Me A Bedtime Story,434,435
There Is No Greater Love,433,433
There Will Never Be Another You,436,436
They Can't Take That Away From Me,437,437
Think On Me,438,438
Three Flowers,439,439
Time Remembered,442,442
Tones For Joan's Bones,440,441
Tough Talk,443,443
Train Samba,444,444
Trance,445,445
Triste,446,446
Tune Up,447,447
Turn Out The Stars,448,448
12-4 2-4/Duplicities,138,138
Unquity Road,449,449
Up Jumped Spring,450,450
Upper Manhattan Medical Group,451,451
Vashkar,452,452
Very Early,453,453
Virgo,454,454
Wait Till You See Her,455,455
Walkin',456,456
Walter L.,457,457
Waltz For A Lovely Wife,459,459
Waltz For Debby,460,460
Waltz,458,458
Waltzin',461,461
Wave,462,462
We'll Be Together Again,463,463
Well You Needn't,464,464
West Coast Blues,465,465
What Am I Here For,466,466
What Are You Doing The Rest Of Your Life,467,467
What Is This Thing Love,470,470
What Was,468,469
When I Fall In Love,471,471
When Sunny Gets Blue,472,472
Where Are You,473,473
Wild Flower,474,475
Windows,476,477
Wings Of Karma,478,478
Witch Hunt,479,479
Woody'n You,480,480
Yes Or No,481,481
Yesterday,482,482
Yesterdays,483,483
You Are The Sunshine Of My Life,484,484
You Are Too Beautiful,485,485
You Don't Know What Love Is,486,486
You Took Advantage Of Me,487,487
